County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Shelby County  6,19,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,314.6 
Etowah County  6,5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,309.4 
Dale County  6,5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,304.4 
Elmore County  6,4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,285.9 
Jefferson County  6,32,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,278.2 
Montgomery County  6,9,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,244.5 
Madison County  6,20,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,222.5 
Marshall County  6,13,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,218.1 
Baldwin County  6,11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,218.0 
Calhoun County  6,5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,198.2 
Blount County  6,6,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,188.2 
Franklin County  6,4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,173.3 
Tuscaloosa County  6,5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,166.4 
Houston County  6,3,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,157.0 
Lee County  6,4,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,139.2 
Mobile County  6,11,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,130.0 
Mohave County  6,1516,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,424.0 
Yavapai County  6,1642,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,404.0 
Coconino County  6,394,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,397.4 
Pima County  6,4818,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,395.8 
Maricopa County  6,16753,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,394.9 
Greenlee County  6,35,Arizona,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,390.3 
