average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,452.8 ,"Jackson County, AL",53.0,52195,51988,51828,51621,51626,AL,40201,41407,42658,41929,44322
76,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,446.6 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930,AL,33160,35968,38379,37586,40249
75,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,457.0 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930,AL,33160,35968,38379,37586,40249
49,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,509.9 ,"Pickens County, AL",58.0,20776,20325,20204,19980,19930,AL,33160,35968,38379,37586,40249
92,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,445.7 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622,AL,37317,34061,36719,40741,43822
92,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,448.6 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622,AL,37317,34061,36719,40741,43822
63,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,504.7 ,"Clarke County, AL",57.0,24698,24340,24063,23918,23622,AL,37317,34061,36719,40741,43822
1430,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,445.6 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909,AL,59117,61193,62750,63755,68609
17,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,217.0 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909,AL,59117,61193,62750,63755,68609
1413,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,452.7 ,"Madison County, AL",56.0,352977,356729,361762,367004,372909,AL,59117,61193,62750,63755,68609
