Age-Adjusted Death Rate,Age-Adjusted Incidence Rate,County,Primary_State_Name
186.2,511.3,Upson County, Georgia
186.2,435.8,Warren County, Mississippi
186.1,* ,Cherokee County, Kansas
186.1,485.4,Tallapoosa County, Alabama
186,459,Pike County, Missouri
186,500.9,Juneau County, Wisconsin
186,487.7,Pike County, Mississippi
185.9,238.9,Russell County, Virginia
185.9,437.7,King and Queen County, Virginia
185.8,373.4,Coal County, Oklahoma
185.8,426,Warren County, Virginia
185.8,488.4,Greene County, Arkansas
185.8,513.1,Wapello County, Iowa
185.8,* ,Wadena County, Minnesota
185.7,515.5,Knox County, Indiana
185.7,457.8,Henry County, Alabama
185.6,450.7,Roosevelt County, Montana
185.6,525.4,Monroe County, Mississippi
185.5,394.5,Shelby County, Texas
185.5,510.8,Marion County, West Virginia
185.5,404.8,Cedar County, Missouri
185.4,613.8,Kingsbury County, South Dakota
185.4,466.8,Sampson County, North Carolina
185.4,479.9,Gordon County, Georgia
185.4,435.9,Manistee County, Michigan
185.4,516.7,Harrison County, West Virginia
185.3,504.3,Cleveland County, North Carolina
185.3,537.2,Schuyler County, New York
185.2,471.1,Screven County, Georgia
185.2,525.1,Cecil County, Maryland
185.1,446.7,Pike County, Alabama
185.1,501.5,Lamar County, Alabama
185.1,448.3,Page County, Virginia
185,446.5,Madison County, Arkansas
185,491.7,Clinton County, Missouri
184.9,462.4,Craig County, Oklahoma
184.9,493.7,Preble County, Ohio
184.9,455.1,Geneva County, Alabama
184.9,493.5,Henry County, Tennessee
184.9,412.8,Washington County, Alabama
184.8,463.1,Montgomery County, Tennessee
184.8,529.4,De Witt County, Illinois
184.8,443.8,Neshoba County, Mississippi
184.8,456.9,Talladega County, Alabama
184.8,476.4,Pettis County, Missouri
184.7,445.1,Young County, Texas
184.7,534.9,Furnas County, Nebraska
184.6,515.9,Drew County, Arkansas
184.6,484.9,Mitchell County, Georgia
184.6,444.5,Giles County, Virginia
184.5,521.7,Franklin County, Mississippi
184.5,464.6,Decatur County, Tennessee
184.5,437.3,Fayette County, Indiana
184.5,450.5,Clinton County, Indiana
184.5,563.9,Marion County, Kentucky
184.5,470.2,Hamilton County, Illinois
184.5,484.8,Meigs County, Ohio
184.4,457.5,Charlotte County, Virginia
184.4,521.6,Nelson County, Kentucky
184.4,379,Baraga County, Michigan
184.3,479.2,Brunswick County, Virginia
184.3,456.7,Cherokee County, Oklahoma
184.3,448.6,Jackson County, Michigan
184.3,* ,Anderson County, Kansas
184.2,422.9,Cowlitz County, Washington
184.2,538,Iberville Parish, Louisiana
184.2,461.1,Jackson County, Indiana
184.2,482.6,Lawrence County, Alabama
184.1,441.9,Fayette County, Illinois
184,484.4,Perry County, Ohio
184,478.3,Robertson County, Tennessee
184,490.3,Marion County, Ohio
184,444.3,Jackson County, Oklahoma
183.9,435.7,Deer Lodge County, Montana
183.9,499.4,Somerset County, Maryland
183.8,503.7,Rowan County, North Carolina
183.8,418.8,Mohave County, Arizona
183.8,484,Iberia Parish, Louisiana
183.7,478,Cook County, Georgia
183.7,476.7,Hutchinson County, Texas
183.7,463.1,Ware County, Georgia
183.6,449.7,Mineral County, West Virginia
183.6,416,Benewah County, Idaho
183.6,493.1,Clark County, Ohio
183.6,484.3,Coos County, New Hampshire
183.5,443.2,Potter County, Pennsylvania
183.5,510.3,Grant County, Arkansas
183.5,522.3,Grand Isle County, Vermont
183.5,* ,Wilkin County, Minnesota
183.5,371.3,Robertson County, Texas
183.4,439.5,Linn County, Missouri
183.4,531.1,Shelby County, Indiana
183.4,526.2,Macoupin County, Illinois
